PCA_Components,Causality_Ψ,Causality_Noise
1,70.5699859682126,1.010063307705724
2,75.46145917140697,1.0064841022012776
3,73.00014571942346,1.0073159119466575
4,72.44724333523835,1.0143174125148073
5,70.84315301482633,1.0220550902275105
6,66.61408131529457,1.0182746663789333
7,65.71820125975131,1.0173486943407126
8,65.77178128646332,1.0288296915261155
9,62.866965214463626,1.0260788085556092
10,60.81762656043778,1.0260162665174715
20,57.88141446386491,1.0564553005121349
30,53.289136384086426,1.0882331478100122
40,52.36064146165566,1.122066412825013
50,52.82446004813067,1.1645590599909013
60,50.29543561985697,1.1890837368989984
70,52.736089398268376,1.2320205593028994
80,54.67511649988577,1.2713959170564706
90,56.035753025119284,1.303881641828913
100,58.427016004942196,1.3505359551862628
110,60.22421522591397,1.3768413247656925
120,63.1523673392766,1.424032207799525
130,62.961625099254924,1.4722206687580626
140,66.86357657161896,1.5181179391423643
150,69.83788430978858,1.5635190308811557
160,71.48518087584053,1.6221588444726172
170,73.36527598783086,1.669454352128718
180,75.41922752303424,1.7233608369846596
190,76.21795714825774,1.789883965646273
200,80.5937732109492,1.8359860669726045
